,Name,Rating,Review,C-type,HQ,Old,Employee
50,Asian Paints,4.3,(4.8k Reviews),Public,"Mumbai,Maharashtra + 328 more",80 years old,10k-50k Employees (India)
51,NTT DATA,4.1,(8k Reviews),Private,"Chiyoda City,Tokyo + 37 more",34 years old,10k-50k Employees (India)
52,Lupin,4.2,(4.2k Reviews),Public,"Mumbai,Maharashtra + 127 more",54 years old,10k-50k Employees (India)
53,Udaan,4.2,(4k Reviews),Private,"Bangalore,Karnataka + 295 more",6 years old,10k-50k Employees (India)
54,Indian Army,4.7,(4k Reviews),Public,"New Delhi,Delhi + 262 more",127 years old,1 Lakh+ Employees (India)
55,Zydus Cadila,4.2,(5.1k Reviews),Public,"Ahmedabad, India + 134 more",70 years old,10k-50k Employees (India)
56,EXL Service,3.9,(5k Reviews),Private,"New York City,New York + 32 more",23 years old,10k-50k Employees (India)
57,HDFC Life,4.1,(4k Reviews),Public,"Mumbai,Maharashtra + 392 more",22 years old,10k-50k Employees (India)
58,Home Credit Fina...,4.2,(3.9k Reviews),Private,Gurugram + 101 more,10 years old,10k-50k Employees (India)
59,L&T Infotech,3.9,(3.7k Reviews),Public,"Mumbai,Maharashtra + 78 more",26 years old,10k-50k Employees (India)
60,PwC,3.8,(3.7k Reviews),Partnership,London + 57 more,24 years old,5k-10k Employees (India)
61,Bajaj Finance,4.2,(3.6k Reviews),Private,"Pune,Maharashtra + 590 more",35 years old,10k-50k Employees (India)
62,Hindustan Unilev...,4.3,(5.8k Reviews),Public,"Mumbai,Maharashtra + 342 more",89 years old,10k-50k Employees (India)
63,UltraTech Cement,4.3,(3.9k Reviews),Public,"Mumbai,Maharashtra + 324 more",39 years old,10k-50k Employees (India)
64,ITC,3.9,(7.1k Reviews),Public,"Kolkata,West Bengal + 219 more",47 years old,10k-50k Employees (India)
65,Ujjivan Small Fi...,4.1,(3.5k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 377 more",5 years old,10k-50k Employees (India)
66,Hewlett-Packard ...,4.3,(5k Reviews),Private,"Houston,Texas + 86 more",83 years old,10k-50k Employees (India)
67,OPPO,4.0,(3.7k Reviews),Public,"Dongguan,Guangdong + 307 more",18 years old,10k-50k Employees (India)
68,Paytm,3.8,(4.3k Reviews),Public,Noida + 228 more,12 years old,10k-50k Employees (India)
69,Shapoorji Pallon...,4.3,(5.2k Reviews),Private,"Mumbai,Maharashtra + 133 more",157 years old,5k-10k Employees (India)
70,IIFL,3.9,(3.4k Reviews),Public,"Mumbai,Maharashtra + 446 more",27 years old,5k-10k Employees (India)
71,KPMG,3.8,(3.4k Reviews),Partnership,New York + 49 more,35 years old,10k-50k Employees (India)
72,Mindtree,4.1,(3.4k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 24 more",23 years old,10k-50k Employees (India)
73,JP Morgan Chase,4.2,(3.3k Reviews),Private,"New York,New York + 20 more",22 years old,10k-50k Employees (India)
74,Shriram Transpor...,4.2,(5.2k Reviews),Public,"Mumbai,Maharashtra + 643 more",43 years old,10k-50k Employees (India)
75,Ashok Leyland,4.1,(4k Reviews),Public,"Chennai,Tamil Nadu + 184 more",74 years old,10k-50k Employees (India)
76,Mahindra & Mahin...,4.3,(3.3k Reviews),Public,"Mumbai,Maharashtra + 546 more",31 years old,10k-50k Employees (India)
77,Sun Pharmaceutic...,4.1,(3.8k Reviews),Public,Mumbai + 140 more,39 years old,10k-50k Employees (India)
78,Intelenet Global...,3.7,(3.3k Reviews),Private,"Mumbai,Maharashtra + 56 more",22 years old,10k-50k Employees (India)
79,Aurobindo Pharma,4.1,(3.5k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 51 more",36 years old,1k-5k Employees (India)
80,Vivo,4.1,(3.2k Reviews),Private,"Gurgaon/Gurugram,Haryana + 322 more",13 years old,5k-10k Employees (India)
81,Apollo Hospitals,4.1,(5.1k Reviews),Public,"San Francisco,California + 163 more",39 years old,50k-1 Lakh Employees (India)
82,Reliance Communi...,4.0,(3.6k Reviews),Public,"Navi Mumbai,Maharashtra + 363 more",20 years old,10k-50k Employees (India)
83,Fidelity Nationa...,4.1,(3.3k Reviews),Private,"Jacksonville,Florida + 32 more",17 years old,10k-50k Employees (India)
84,Wells Fargo Indi...,4.3,(3.1k Reviews),Public,"San Francisco,California + 10 more",170 years old,10k-50k Employees (India)
85,Future Group,4.2,(10.6k Reviews),Private,"Mumbai,Maharashtra + 196 more",9 years old,50k-1 Lakh Employees (India)
86,Siemens,4.2,(3.2k Reviews),Public,"Munich,Bavaria + 103 more",30 years old,10k-50k Employees (India)
87,Nokia,4.4,(3.2k Reviews),Private,"Espoo,Southern Finland + 166 more",157 years old,10k-50k Employees (India)
88,Bandhan Bank,3.9,(3.3k Reviews),Public,"Kolkata,West Bengal + 504 more",21 years old,10k-50k Employees (India)
89,eClerx,3.7,(3k Reviews),Public,"Mumbai,Maharashtra + 15 more",22 years old,5k-10k Employees (India)
90,Delhivery,4.2,(3k Reviews),Private,"Delhi,NCT + 438 more",11 years old,10k-50k Employees (India)
91,Max Life Insuran...,4.2,(3k Reviews),JV,"Gurgaon/Gurugram,Haryana + 272 more",22 years old,10k-50k Employees (India)
92,Wipro BPS,3.8,(2.9k Reviews),Bengaluru + 38 more,22 years old,1 Lakh+ Employees (India),nan
93,TVS Motor,4.1,(3.1k Reviews),Public,"Chennai,Tamil Nadu + 231 more",43 years old,5k-10k Employees (India)
94,AU Small Finance...,4.1,(3.9k Reviews),Private,"Jaipur,Rajasthan + 281 more",26 years old,10k-50k Employees (India)
95,Cyient,3.7,(2.9k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 26 more",31 years old,10k-50k Employees (India)
96,Oyo Rooms,3.5,(3.1k Reviews),Private,"Gurgaon,Haryana + 102 more",9 years old,1k-5k Employees (India)
97,Tata Projects,4.2,(2.9k Reviews),Public,"Mumbai,Maharashtra + 191 more",43 years old,5k-10k Employees (India)
98,First Source,3.9,(2.9k Reviews),Public,"Mumbai,Maharashtra + 44 more",21 years old,5k-10k Employees (India)
99,JLL,4.3,(2.9k Reviews),Private,"Mumbai,Maharashtra + 59 more",25 years old,10k-50k Employees (India)
100,Oracle,3.9,(3.6k Reviews),Public,"Austin,Texas + 31 more",45 years old,10k-50k Employees (India)
101,Hero MotoCorp,4.3,(2.9k Reviews),Public,"Gurgaon/Gurugram,Haryana + 258 more",38 years old,5k-10k Employees (India)
102,JSW Steel,3.9,(4.2k Reviews),Public,"Mumbai,Maharashtra + 88 more",40 years old,10k-50k Employees (India)
103,Hexaware Technol...,3.8,(2.9k Reviews),Public,"Mumbai,Maharashtra + 29 more",32 years old,10k-50k Employees (India)
104,TATA Steel,4.1,(4.3k Reviews),Public,"Mumbai,Maharashtra + 119 more",115 years old,10k-50k Employees (India)
105,Hyundai Motor,4.1,(3.8k Reviews),Private,Seoul + 218 more,55 years old,5k-10k Employees (India)
106,Bosch,4.3,(3.6k Reviews),Public,"Gerlingen,Baden-Wuerttemberg + 83 more",136 years old,10k-50k Employees (India)
107,JustDial,3.6,(2.7k Reviews),Public,"Mumbai,Maharashtra + 123 more",26 years old,10k-50k Employees (India)
108,Atos Syntel,3.8,(4.4k Reviews),Private,"Troy,Michigan + 14 more",42 years old,10k-50k Employees (India)
109,iEnergizer,3.5,(2.6k Reviews),Private,"Noida,Uttar Pradesh + 14 more",22 years old,5k-10k Employees (India)
110,Quess,3.9,(7.8k Reviews),Public,Bangalore + 307 more,15 years old,10k-50k Employees (India)
111,Megha Engineerin...,4.2,(2.6k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 189 more",33 years old,1k-5k Employees (India)
112,Dell,4.3,(3.6k Reviews),Private,"Round Rock,Texas + 84 more",38 years old,50k-1 Lakh Employees (India)
113,Viatris,4.3,(2.5k Reviews),"Canonsburg,Pennsylvania + 61 more",61 years old,1k-5k Employees (India),nan
114,Godrej & Boyce M...,3.9,(2.5k Reviews),Private,"Mumbai,Maharashtra + 121 more",125 years old,10k-50k Employees (India)
115,L&T Construction,4.2,(3.5k Reviews),Public,Chennai + 253 more,78 years old,10k-50k Employees (India)
116,BNY Mellon,4.2,(2.5k Reviews),Private,"New York City,New York + 9 more",18 years old,10k-50k Employees (India)
117,Omega Healthcare,3.8,(2.5k Reviews),Private,Florida + 27 more,18 years old,1k-5k Employees (India)
118,Fullerton India,4.2,(2.4k Reviews),Private,Mumbai + 389 more,15 years old,10k-50k Employees (India)
119,SBI Cards & Paym...,3.8,(2.4k Reviews),Public,"Gurgaon/Gurugram,Haryana + 229 more",24 years old,5k-10k Employees (India)
120,Cgi Group,4.2,(2.5k Reviews),Private,"Montreal,Quebec + 14 more",31 years old,10k-50k Employees (India)
121,Aditya Birla Fas...,4.3,(2.8k Reviews),Private,Mumbai + 194 more,7 years old,10k-50k Employees (India)
122,UnitedHealth,4.2,(4.3k Reviews),Private,"Minnetonka,Minnesota + 11 more",45 years old,10k-50k Employees (India)
123,Manappuram Finan...,4.0,(3.1k Reviews),Public,"Thrissur/Trichur,Kerala + 360 more",73 years old,10k-50k Employees (India)
124,D Mart,4.0,(2.4k Reviews),Private,"Mumbai,Maharashtra + 151 more",22 years old,5k-10k Employees (India)
125,IQVIA,4.2,(2.3k Reviews),Partnership,Durham + 38 more,40 years old,10k-50k Employees (India)
126,Axis Direct,4.0,(2.3k Reviews),Private,"San Mateo,California + 265 more",11 years old,1k-5k Employees (India)
127,Dominos Pizza,4.1,(2.3k Reviews),Public,"Ypsilanti,Michigan + 198 more",62 years old,1k-5k Employees (India)
128,Nagarjuna Constr...,4.2,(2.4k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 176 more",24 years old,1k-5k Employees (India)
129,CBRE,4.3,(2.3k Reviews),Private,"Los Angeles,California + 52 more",116 years old,10k-50k Employees (India)
130,Wipro Consumer ...,3.8,(2.9k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 70 more",77 years old,1k-5k Employees (India)
131,Equitas Small Fi...,4.2,(2.3k Reviews),Private,"Chennai,Tamil Nadu + 285 more",15 years old,1k-5k Employees (India)
132,Royal Enfield,4.2,(2.3k Reviews),Private,"Gurgaon/Gurugram,Haryana + 227 more",67 years old,5k-10k Employees (India)
133,State Bank of In...,3.9,(2.3k Reviews),"Mumbai,Maharashtra + 332 more",216 years old,1 Lakh+ Employees (India),nan
134,JBM Group,4.1,(2.8k Reviews),Public,"Gurgaon/Gurugram,Haryana + 72 more",39 years old,1k-5k Employees (India)
135,Nagarro,4.6,(2.2k Reviews),Private,"Munich,Bavaria + 29 more",26 years old,5k-10k Employees (India)
136,Bajaj Auto,4.1,(5.9k Reviews),Public,"Pune,Maharashtra + 197 more",77 years old,201-500 Employees (India)
137,Tata Communicati...,4.2,(3k Reviews),Public,"Mumbai,Maharashtra + 87 more",36 years old,10k-50k Employees (India)
138,ICICI Lombard Ge...,3.9,(2.2k Reviews),Public,"Mumbai,Maharashtra + 193 more",21 years old,5k-10k Employees (India)
139,Muthoot Fincorp,4.0,(2.2k Reviews),Private,"Trivandrum/Thiruvananthapuram,Kerala + 408 more",135 years old,10k-50k Employees (India)
140,Amdocs,4.1,(2.2k Reviews),Private,"Chesterfield,Missouri + 12 more",40 years old,10k-50k Employees (India)
141,UST,4.1,(2.4k Reviews),Private,"Aliso Viejo,California + 32 more",21 years old,10k-50k Employees (India)
142,Bosch Global Sof...,4.2,(2.2k Reviews),Private,Gerlingen + 19 more,32 years old,10k-50k Employees (India)
143,Flex,4.2,(2.2k Reviews),Private,San Jose + 35 more,53 years old,10k-50k Employees (India)
144,LG Electronics,4.1,(2.2k Reviews),Public,"Seoul,Seoul + 183 more",64 years old,5k-10k Employees (India)
145,John Deere,4.4,(2.4k Reviews),Private,"Moline,Illinois + 94 more",21 years old,1k-5k Employees (India)
146,L&T Financial Se...,4.1,(2.1k Reviews),Public,"Mumbai,Maharashtra + 371 more",28 years old,10k-50k Employees (India)
147,Motherson Sumi S...,3.9,(3.5k Reviews),Public,"Noida,Uttar Pradesh + 61 more",36 years old,1k-5k Employees (India)
148,Ford Motor,4.5,(2.5k Reviews),Public,"Dearborn,Michigan + 100 more",119 years old,5k-10k Employees (India)
149,Sodexo,4.1,(2.3k Reviews),Private,Issy Les Moulineaux + 105 more,14 years old,10k-50k Employees (India)
150,Whitehat jr,3.8,(2.1k Reviews),Private,"Mumbai,Maharashtra + 44 more",4 years old,5k-10k Employees (India)
151,Hetero Drugs,4.0,(2.5k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 31 more",29 years old,1k-5k Employees (India)
152,Ecom Express,4.3,(2.1k Reviews),Private,"Gurgaon,Haryana + 453 more",10 years old,10k-50k Employees (India)
153,Alembic Pharmace...,4.1,(2.1k Reviews),Public,"Vadodara/Baroda,Gujrat + 117 more",115 years old,5k-10k Employees (India)
154,KEC Internationa...,4.2,(2.1k Reviews),Public,"Mumbai,Maharashtra + 200 more",77 years old,5k-10k Employees (India)
155,Indiamart Interm...,3.8,(2.1k Reviews),Private,"Noida,Uttar Pradesh + 96 more",26 years old,10k-50k Employees (India)
156,SBI Life Insuran...,3.8,(2.1k Reviews),Public,"Mumbai,Maharashtra + 405 more",21 years old,10k-50k Employees (India)
157,Abbott Healthcar...,4.2,(3.4k Reviews),Public,"Illinois City,Illinois + 138 more",31 years old,10k-50k Employees (India)
158,Cholamandalam In...,4.3,(2.1k Reviews),Private,"Chennai,Tamil Nadu + 465 more",44 years old,1k-5k Employees (India)
159,Schneider Electr...,4.2,(3.7k Reviews),Private,Paris + 65 more,23 years old,10k-50k Employees (India)
160,BigBasket,4.2,(2.1k Reviews),Private,"Bangalore,Karnataka + 73 more",11 years old,5k-10k Employees (India)
161,Hindustan Coca C...,4.4,(2k Reviews),Private,Bangalore + 164 more,25 years old,1k-5k Employees (India)
162,Simplex Infrastr...,3.7,(2.2k Reviews),Public,"Kolkata,West Bengal + 121 more",98 years old,1k-5k Employees (India)
163,GlobalLogic,4.0,(2k Reviews),Private,"San Jose,California + 25 more",22 years old,5k-10k Employees (India)
164,Subros,4.0,(2k Reviews),Public,"Noida,Uttar Pradesh + 32 more",37 years old,1k-5k Employees (India)
165,Thermax,4.3,(2.3k Reviews),Public,"Pune,Maharashtra + 117 more",42 years old,1k-5k Employees (India)
166,Muthoot Group,3.7,(4.4k Reviews),Public,"Wedel,Schleswig-holstein + 320 more",135 years old,1k-5k Employees (India)
167,Intas Pharmaceut...,4.3,(2k Reviews),Private,"Ahmedabad,Gujrat + 95 more",22 years old,5k-10k Employees (India)
168,Wipro Enterprise...,3.8,(2k Reviews),Bangalore + 65 more,77 years old,1 Lakh+ Employees (India),nan
169,Arvind Group,4.1,(2.2k Reviews),Public,"Ahmedabad,Gujrat + 128 more",91 years old,10k-50k Employees (India)
170,Gati kwe,4.1,(2k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 143 more",10 years old,1k-5k Employees (India)
171,Muthoot Finance,3.6,(2k Reviews),Public,"Kochi/Cochin,Kerala + 381 more",83 years old,10k-50k Employees (India)
172,NatWest Group,4.1,(2k Reviews),Chennai + 18 more,10k-50k Employees (India),nan,nan
173,VE Commercial Ve...,4.1,(1.9k Reviews),Private,"Gurgaon/Gurugram,Haryana + 102 more",14 years old,1k-5k Employees (India)
174,Varun Beverages,4.0,(1.9k Reviews),Public,"Gurgaon/Gurugram,Haryana + 184 more",27 years old,5k-10k Employees (India)
175,Shoppers Stop,4.3,(2.1k Reviews),Public,"Mumbai,Maharashtra + 53 more",31 years old,10k-50k Employees (India)
176,Atos,3.8,(6.3k Reviews),Private,"Vilnius,Vilniaus Apskritis + 31 more",25 years old,10k-50k Employees (India)
177,Cummins,4.4,(1.9k Reviews),"Columbus,Indiana + 74 more",60 years old,10k-50k Employees (India),nan
178,Macleods Pharmac...,4.0,(1.9k Reviews),Public,"Mumbai,Maharashtra + 73 more",36 years old,5k-10k Employees (India)
179,Indian Air Force,4.6,(1.9k Reviews),Private,"New Delhi,Delhi + 98 more",90 years old,1 Lakh+ Employees (India)
180,Suzlon Group,4.2,(1.9k Reviews),Public,"Pune,Maharashtra + 84 more",27 years old,5k-10k Employees (India)
181,Optum,4.1,(1.9k Reviews),Private,Minnesota + 19 more,45 years old,50k-1 Lakh Employees (India)
182,CMS IT Services,3.2,(1.9k Reviews),Private,"Bangalore,Karnataka + 114 more",8 years old,5k-10k Employees (India)
183,Virtusa Consulti...,3.8,(1.9k Reviews),Private,"Southborough,Massachusetts + 22 more",26 years old,5k-10k Employees (India)
184,American Express,4.4,(2k Reviews),Private,"New York City,New York + 33 more",172 years old,10k-50k Employees (India)
185,McDonald's,4.3,(1.9k Reviews),Private,"Chicago,Illinois + 118 more",67 years old,5k-10k Employees (India)
186,DTDC Express,4.0,(1.9k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 185 more",32 years old,1k-5k Employees (India)
187,ABB Group,4.1,(1.9k Reviews),Public,Zurich + 84 more,21 years old,5k-10k Employees (India)
188,Glenmark Pharmac...,4.2,(1.9k Reviews),Public,"Mumbai,Maharashtra + 106 more",45 years old,5k-10k Employees (India)
189,Bel,4.2,(1.9k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 29 more",68 years old,5k-10k Employees (India)
190,Randstad,4.1,(1.9k Reviews),Private,"Chennai,Tamil Nadu + 199 more",30 years old,1k-5k Employees (India)
191,Deutsche Bank,4.3,(1.9k Reviews),Private,Frankfurt + 29 more,152 years old,10k-50k Employees (India)
192,Alkem Laboratori...,4.1,(1.9k Reviews),Public,"Mumbai,Maharashtra + 115 more",49 years old,10k-50k Employees (India)
193,Lava Internation...,4.2,(1.8k Reviews),Public,"Noida,Uttar Pradesh + 202 more",13 years old,1k-5k Employees (India)
194,Honda Motorcycle...,4.2,(1.8k Reviews),Private,"Gurgaon/Gurugram,Haryana + 161 more",23 years old,5k-10k Employees (India)
195,Standard Charter...,4.2,(4.3k Reviews),Private,London + 57 more,53 years old,5k-10k Employees (India)
196,Reliance Nippon ...,3.9,(1.8k Reviews),Private,"Mumbai,Maharashtra + 376 more",22 years old,10k-50k Employees (India)
197,Havells,4.2,(2k Reviews),Public,"Noida,Uttar Pradesh + 118 more",39 years old,5k-10k Employees (India)
198,Swiggy,4.2,(1.8k Reviews),Private,"Bangalore,Karnataka + 129 more",8 years old,1k-5k Employees (India)
199,Pidilite Industr...,4.4,(1.9k Reviews),Public,"Mumbai,Maharashtra + 167 more",63 years old,5k-10k Employees (India)
200,KocharTech,4.5,(1.8k Reviews),Private,"Gurgaon/Gurugram,Haryana + 20 more",27 years old,501-1k Employees (India)
201,Piramal Capital ...,4.3,(1.8k Reviews),Mumbai + 216 more,4 years old,5k-10k Employees (India),nan
202,Ipca Laboratorie...,4.1,(1.8k Reviews),Public,"Mumbai,Maharashtra + 97 more",73 years old,5k-10k Employees (India)
203,DCB Bank,4.0,(1.8k Reviews),Private,"Mumbai,Maharashtra + 232 more",92 years old,5k-10k Employees (India)
204,Bajaj Electrical...,4.1,(1.8k Reviews),Public,"Mumbai,Maharashtra + 161 more",84 years old,5k-10k Employees (India)
205,Indian Oil Corpo...,4.4,(2k Reviews),Private,"Delhi/NCR,Delhi + 174 more",63 years old,10k-50k Employees (India)
206,24/7 Customer,3.6,(1.8k Reviews),Private,"San Jose,California + 19 more",22 years old,5k-10k Employees (India)
207,Conduent,3.7,(1.8k Reviews),Private,"Florham Park,New Jersey + 19 more",5 years old,5k-10k Employees (India)
208,Titan Company,4.4,(1.7k Reviews),Public,"Mumbai,Maharashtra + 120 more",4 years old,5k-10k Employees (India)
209,Future Retail,4.2,(4.4k Reviews),Public,"San Francisco,California + 185 more",35 years old,10k-50k Employees (India)
210,Tata Teleservice...,4.2,(1.7k Reviews),Public,"Mumbai,Maharashtra + 152 more",26 years old,201-500 Employees (India)
211,Maersk,4.4,(1.7k Reviews),Private,Copenhagen + 21 more,118 years old,10k-50k Employees (India)
212,Hindalco Industr...,4.3,(1.7k Reviews),Public,"Mumbai,Maharashtra + 63 more",64 years old,10k-50k Employees (India)
213,MRF Tyres,3.7,(1.8k Reviews),Public,"Chennai,Tamil Nadu + 158 more",76 years old,1k-5k Employees (India)
214,PepsiCo,4.1,(1.8k Reviews),Private,"Harrison,New York + 200 more",33 years old,1 Lakh+ Employees (India)
215,State Street Syn...,3.8,(1.7k Reviews),Private,Mumbai + 12 more,18 years old,501-1k Employees (India)
216,Jindal Steel and...,4.0,(2k Reviews),Private,"Delhi/NCR,New Delhi + 88 more",70 years old,5k-10k Employees (India)
217,Huawei Technolog...,3.8,(1.7k Reviews),Private,"Gurgaon/Gurugram,Haryana + 88 more",20 years old,1k-5k Employees (India)
218,CARS24,3.8,(1.7k Reviews),Private,"Gurgaon,Haryana + 132 more",7 years old,5k-10k Employees (India)
219,Tractors and Far...,4.2,(1.7k Reviews),Public,"Chennai,Tamil Nadu + 131 more",62 years old,5k-10k Employees (India)
220,Team Lease,4.1,(1.7k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 186 more",6 years old,1k-5k Employees (India)
221,Torrent Pharmace...,4.1,(1.7k Reviews),Public,"Ahmedabad,Gujrat + 86 more",51 years old,5k-10k Employees (India)
222,Vishal Mega Mart,3.9,(1.7k Reviews),Private,"Ahmedabad,Gujrat + 234 more",14 years old,5k-10k Employees (India)
223,RSPL Group,4.1,(1.7k Reviews),Private,"Mumbai,Maharashtra + 139 more",35 years old,1k-5k Employees (India)
